iter	RMSE
0	148010111.3
1	144864919.2
2	141751689.4
3	138658630.6
4	135559676.9
5	132607787
6	129745426.1
7	126907466.3
8	124188539.7
9	121434512.1
10	118817071.3
11	116332266.6
12	113863751.7
13	111667032.2
14	109449274.1
