iter	Passed	Remaining
0	113	113313
1	193	96459
2	316	105060
3	405	100989
4	511	101772
5	593	98359
6	712	101014
7	809	100359
8	929	102350
9	1064	105427
10	1185	106560
11	1265	104211
12	1383	105066
13	1471	103639
14	1594	104705
15	1687	103783
16	1809	104634
17	1926	105088
18	2047	105733
19	2158	105780
20	2277	106196
21	2411	107218
22	2596	110306
23	2729	111006
24	2855	111354
25	2954	110677
26	3075	110821
27	3177	110298
28	3322	111254
29	3430	110907
30	3555	111137
31	3663	110811
32	3771	110522
33	3876	110137
34	3975	109623
35	4076	109157
36	4210	109580
37	4307	109046
38	4407	108604
39	4526	108626
40	4634	108400
41	4722	107708
42	4819	107263
43	4908	106648
44	5036	106875
45	5155	106922
46	5252	106499
47	5378	106668
48	5491	106579
49	5572	105886
50	5692	105918
51	5789	105542
52	5878	105043
53	5970	104595
54	6074	104363
55	6194	104416
56	6313	104457
57	6427	104391
58	6529	104145
59	6627	103830
60	6762	104091
61	6860	103793
62	6996	104063
63	7098	103810
64	7217	103819
65	7300	103311
66	7422	103367
67	7531	103220
68	7667	103449
69	7748	102941
70	7869	102970
71	7949	102458
72	8054	102283
73	8164	102170
74	8268	101982
75	8366	101724
76	8473	101569
77	8573	101340
78	8724	101708
79	8821	101444
80	8926	101275
81	8986	100606
82	9087	100402
83	9207	100400
84	9303	100150
85	9423	100155
86	9528	99992
87	9671	100232
88	9775	100062
89	9888	99981
90	9985	99748
91	10111	99792
92	10208	99557
93	10312	99393
94	10438	99436
95	10528	99141
96	10610	98776
97	10691	98405
98	10795	98250
99	10915	98240
100	11035	98222
101	11162	98273
102	11266	98120
103	11363	97898
104	11487	97913
105	11579	97663
106	11684	97512
107	11818	97611
108	11899	97271
109	12018	97243
110	12124	97107
111	12224	96923
112	12329	96780
113	12433	96631
114	12522	96365
115	12611	96109
116	12744	96182
117	12807	95727
118	12908	95567
119	13037	95609
120	13141	95469
121	13266	95478
122	13474	96071
123	13579	95933
124	13756	96297
125	13879	96276
126	14021	96380
127	14212	96823
128	14419	97362
129	14530	97241
130	14671	97323
131	14771	97133
132	14887	97049
133	14979	96806
134	15083	96649
135	15170	96375
136	15251	96071
137	15354	95912
138	15452	95715
139	15544	95488
140	15653	95361
141	15758	95216
142	15870	95109
143	15974	94960
144	16055	94671
145	16148	94455
146	16235	94210
147	16312	93904
148	16430	93842
149	16544	93754
150	16656	93650
151	16766	93537
152	16859	93332
153	16946	93098
154	17006	92712
155	17130	92682
156	17232	92528
157	17328	92347
158	17422	92151
159	17538	92077
160	17642	91938
161	17724	91688
162	17825	91532
163	17906	91281
164	17987	91025
165	18057	90723
166	18157	90569
167	18251	90389
168	18390	90426
169	18460	90128
170	18564	90001
171	18648	89772
172	18734	89556
173	18864	89550
174	19023	89684
175	19117	89503
176	19262	89564
177	19373	89468
178	19465	89282
179	19548	89052
180	19662	88969
181	19761	88818
182	19863	88680
183	19932	88395
184	20013	88168
185	20103	87979
186	20234	87972
187	20326	87794
188	20437	87698
189	20526	87506
190	20591	87216
191	20699	87110
192	20808	87005
193	20927	86948
194	21021	86779
195	21098	86548
196	21190	86374
197	21319	86353
198	21411	86185
199	21516	86064
200	21636	86008
201	21720	85807
202	21837	85734
203	21954	85665
204	21995	85298
205	22086	85127
206	22238	85193
207	22344	85082
208	22450	84967
209	22568	84900
210	22664	84750
211	22764	84615
212	22875	84520
213	22998	84470
214	23094	84323
215	23186	84157
216	23279	83999
217	23346	83747
218	23430	83559
219	23553	83508
220	23609	83222
221	23726	83149
222	23874	83185
223	23996	83129
224	24083	82953
225	24193	82856
226	24299	82746
227	24378	82544
228	24454	82333
229	24552	82199
230	24638	82021
231	24755	81948
232	24845	81787
233	24954	81688
234	25073	81622
235	25177	81505
236	25281	81391
237	25369	81224
238	25413	80919
239	25524	80826
240	25633	80729
241	25725	80579
242	25829	80464
243	25905	80264
244	26004	80137
245	26099	79995
246	26241	79999
247	26345	79885
248	26415	79671
249	26519	79558
250	26637	79488
251	26708	79277
252	26814	79172
253	26876	78936
254	26972	78802
255	27112	78796
256	27204	78648
257	27323	78580
258	27404	78404
259	27474	78196
260	27544	77990
261	27668	77936
262	27760	77791
263	27917	77830
264	27991	77637
265	28115	77582
266	28213	77454
267	28290	77271
268	28393	77158
269	28516	77099
270	28581	76886
271	28664	76718
272	28814	76732
273	28968	76757
274	29098	76713
275	29213	76632
276	29334	76566
277	29433	76441
278	29579	76441
279	29659	76267
280	29735	76083
281	29852	76006
282	29934	75841
283	30035	75723
284	30110	75540
285	30188	75364
286	30314	75310
287	30410	75181
288	30577	75227
289	30690	75139
290	30774	74979
291	30857	74817
292	30946	74673
293	31023	74498
294	31124	74381
295	31221	74256
296	31302	74094
297	31382	73929
298	31525	73910
299	31637	73821
300	31746	73724
301	31816	73535
302	31924	73435
303	32033	73338
304	32131	73218
305	32241	73123
306	32302	72917
307	32361	72707
308	32439	72542
309	32528	72402
310	32623	72274
311	32732	72179
312	32826	72050
313	32901	71880
314	32997	71756
315	33092	71631
316	33166	71460
317	33235	71277
318	33349	71194
319	33481	71148
320	33594	71060
321	33705	70970
322	33796	70836
323	33877	70683
324	33965	70543
325	34062	70423
326	34176	70338
327	34251	70174
328	34363	70083
329	34467	69979
330	34536	69803
331	34633	69683
332	34784	69673
333	34837	69466
334	34911	69302
335	35039	69243
336	35122	69097
337	35217	68976
338	35317	68863
339	35380	68679
340	35472	68552
341	35569	68435
342	35657	68299
343	35801	68271
344	35937	68228
345	35992	68031
346	36118	67969
347	36241	67900
348	36330	67767
349	36428	67653
350	36561	67602
351	36616	67408
352	36694	67256
353	36846	67239
354	36944	67124
355	37009	66950
356	37087	66799
357	37211	66731
358	37299	66598
359	37400	66490
360	37501	66381
361	37596	66260
362	37681	66123
363	37774	66002
364	37898	65932
365	38013	65848
366	38129	65765
367	38207	65617
368	38308	65509
369	38432	65438
370	38534	65331
371	38621	65198
372	38724	65095
373	38829	64993
374	38954	64924
375	39051	64808
376	39155	64705
377	39280	64636
378	39375	64517
379	39472	64402
380	39558	64269
381	39655	64155
382	39735	64012
383	39839	63909
384	39974	63855
385	40055	63714
386	40177	63640
387	40272	63522
388	40368	63406
389	40453	63272
390	40550	63159
391	40638	63031
392	40720	62893
393	40839	62813
394	40967	62746
395	41059	62625
396	41160	62518
397	41251	62394
398	41321	62241
399	41429	62143
400	41523	62026
401	41597	61879
402	41677	61740
403	41756	61600
404	41845	61477
405	41947	61371
406	42109	61352
407	42197	61228
408	42294	61115
409	42400	61015
410	42488	60889
411	42586	60778
412	42685	60669
413	42753	60516
414	42869	60430
415	42971	60325
416	43088	60241
417	43169	60106
418	43288	60024
419	43386	59915
420	43485	59804
421	43589	59702
422	43686	59590
423	43789	59487
424	43864	59346
425	43975	59253
426	44143	59237
427	44208	59082
428	44318	58988
429	44424	58887
430	44519	58773
431	44618	58665
432	44682	58509
433	44763	58378
434	44873	58283
435	44978	58183
436	45059	58051
437	45212	58012
438	45323	57919
439	45429	57819
440	45540	57725
441	45608	57578
442	45718	57483
443	45801	57354
444	45877	57217
445	45952	57079
446	46037	56954
447	46158	56873
448	46299	56817
449	46406	56719
450	46495	56599
451	46601	56499
452	46699	56389
453	46797	56280
454	46924	56206
455	46998	56068
456	47102	55966
457	47199	55855
458	47334	55790
459	47406	55650
460	47502	55539
461	47605	55436
462	47685	55306
463	47794	55211
464	47883	55091
465	47988	54990
466	48106	54904
467	48204	54796
468	48295	54680
469	48435	54618
470	48523	54499
471	48616	54384
472	48704	54264
473	48832	54189
474	48922	54072
475	49027	53971
476	49116	53852
477	49221	53752
478	49327	53652
479	49449	53570
480	49555	53470
481	49659	53368
482	49756	53259
483	49882	53180
484	49979	53070
485	50100	52986
486	50169	52847
487	50275	52748
488	50362	52628
489	50517	52579
490	50599	52454
491	50702	52351
492	50799	52241
493	50918	52155
494	51030	52061
495	51151	51976
496	51251	51870
497	51334	51746
498	51452	51659
499	51572	51572
500	51679	51472
501	51784	51372
502	51865	51247
503	51970	51145
504	52056	51025
505	52164	50927
506	52270	50827
507	52365	50716
508	52438	50584
509	52542	50481
510	52666	50398
511	52778	50304
512	52875	50195
513	52983	50097
514	53105	50011
515	53217	49917
516	53343	49834
517	53428	49715
518	53529	49610
519	53682	49552
520	53757	49424
