iter	Passed	Remaining
0	63	63009
1	99	49648
2	157	52371
3	180	45060
4	212	42193
5	276	45844
6	378	53753
7	408	50648
8	476	52448
9	559	55381
10	605	54437
11	650	53536
12	745	56603
13	799	56291
14	847	55648
15	913	56150
16	943	54555
17	995	54325
18	1014	52381
19	1076	52768
20	1160	54086
21	1244	55314
22	1305	55475
23	1347	54807
24	1430	55773
25	1514	56717
26	1577	56857
27	1628	56548
28	1651	55292
29	1697	54899
30	1760	55018
31	1801	54498
32	1860	54516
33	1930	54850
34	1975	54469
35	2060	55186
36	2117	55117
37	2176	55105
38	2245	55335
39	2302	55266
40	2378	55636
41	2462	56175
42	2523	56168
43	2570	55842
44	2646	56172
45	2745	56948
46	2776	56307
47	2831	56164
48	2869	55691
49	2946	55987
50	3030	56396
51	3076	56089
52	3130	55928
53	3149	55166
54	3202	55019
55	3277	55248
56	3362	55632
57	3377	54862
58	3443	54924
59	3501	54862
60	3577	55071
61	3646	55165
62	3715	55258
63	3780	55290
64	3819	54943
65	3862	54654
66	3906	54404
67	3960	54288
68	3988	53811
69	4056	53895
70	4080	53392
71	4147	53454
72	4234	53778
73	4309	53922
74	4360	53774
75	4449	54098
76	4503	53980
77	4571	54035
78	4619	53855
79	4655	53540
80	4703	53368
81	4778	53491
82	4848	53568
83	4886	53285
84	4903	52785
85	4979	52919
86	5024	52729
87	5049	52336
88	5116	52369
89	5215	52733
90	5277	52718
91	5370	52999
92	5449	53150
93	5531	53314
94	5600	53352
95	5662	53326
96	5716	53220
97	5759	53008
98	5846	53212
99	5903	53128
100	5968	53126
101	6044	53212
102	6116	53263
103	6178	53232
104	6226	53069
105	6286	53020
106	6364	53113
107	6419	53021
108	6480	52970
109	6496	52564
110	6563	52564
111	6613	52437
112	6661	52292
113	6733	52331
114	6792	52276
115	6844	52157
116	6881	51935
117	6947	51928
118	7015	51941
119	7079	51914
120	7141	51876
121	7189	51742
122	7265	51800
123	7330	51786
124	7376	51634
125	7437	51591
126	7477	51403
127	7519	51223
128	7566	51087
129	7648	51187
130	7705	51118
131	7780	51164
132	7847	51159
133	7904	51085
134	7978	51121
135	8064	51231
136	8147	51324
137	8187	51139
138	8214	50881
139	8302	50998
140	8379	51050
141	8453	51076
142	8532	51135
143	8586	51042
144	8618	50820
145	8701	50896
146	8740	50721
147	8787	50587
148	8864	50630
149	8920	50548
150	8950	50323
151	9034	50405
152	9117	50475
153	9202	50555
154	9264	50506
155	9307	50355
156	9401	50483
157	9458	50404
158	9532	50422
159	9602	50410
160	9649	50285
161	9685	50102
162	9736	49994
163	9779	49851
164	9848	49841
165	9905	49763
166	9958	49671
167	10003	49541
168	10051	49426
169	10092	49274
170	10143	49173
171	10190	49054
172	10265	49070
173	10348	49127
174	10422	49134
175	10479	49061
176	10526	48944
177	10572	48823
178	10625	48733
179	10653	48532
180	10701	48422
181	10764	48381
182	10837	48382
183	10878	48243
184	10964	48301
185	11049	48355
186	11117	48335
187	11159	48201
188	11233	48201
189	11279	48084
190	11305	47886
191	11380	47894
192	11465	47942
193	11521	47869
194	11579	47802
195	11649	47784
196	11718	47767
197	11805	47816
198	11903	47912
199	11966	47866
200	12064	47958
201	12106	47827
202	12137	47653
203	12175	47507
204	12217	47381
205	12264	47273
206	12318	47190
207	12353	47038
208	12419	47005
209	12464	46888
210	12536	46876
211	12603	46848
212	12680	46853
213	12749	46828
214	12804	46750
215	12902	46832
216	12964	46780
217	13035	46759
218	13133	46837
219	13202	46809
220	13265	46757
221	13324	46694
222	13350	46517
223	13407	46446
224	13503	46512
225	13553	46417
226	13588	46273
227	13626	46137
228	13673	46035
229	13716	45919
230	13780	45876
231	13850	45848
232	13934	45869
233	14002	45838
234	14066	45790
235	14126	45732
236	14172	45625
237	14249	45621
238	14318	45591
239	14385	45553
240	14457	45533
241	14511	45452
242	14580	45422
243	14666	45440
244	14750	45454
245	14803	45372
246	14858	45295
247	14924	45255
248	14958	45116
249	15006	45018
250	15066	44958
251	15180	45060
252	15226	44955
253	15269	44846
254	15333	44797
255	15356	44629
256	15410	44553
257	15433	44385
258	15504	44359
259	15574	44328
260	15615	44213
261	15680	44169
262	15750	44136
263	15818	44100
264	15881	44047
265	15950	44012
266	16017	43974
267	16092	43955
268	16153	43896
269	16214	43838
270	16257	43733
271	16308	43648
272	16390	43647
273	16470	43641
274	16519	43552
275	16570	43468
276	16600	43330
277	16662	43275
278	16760	43312
279	16826	43268
280	16924	43304
281	16968	43203
282	17016	43111
283	17110	43138
284	17198	43147
285	17258	43086
286	17322	43035
287	17372	42947
288	17427	42874
289	17480	42796
290	17514	42672
291	17565	42591
292	17611	42496
293	17687	42472
294	17787	42508
295	17871	42505
296	17953	42496
297	17995	42391
298	18048	42315
299	18133	42310
300	18172	42201
301	18224	42122
302	18302	42100
303	18379	42080
304	18469	42085
305	18522	42008
306	18567	41913
307	18638	41875
308	18700	41818
309	18771	41781
310	18810	41674
311	18885	41644
312	18953	41600
313	19022	41557
314	19086	41506
315	19174	41503
316	19250	41476
317	19329	41454
318	19402	41419
319	19490	41417
320	19555	41365
321	19622	41316
322	19700	41291
323	19768	41245
324	19838	41203
325	19902	41147
326	19968	41097
327	20026	41030
328	20122	41039
329	20200	41012
330	20284	40997
331	20353	40952
332	20437	40935
333	20522	40921
334	20602	40898
335	20669	40847
336	20768	40859
337	20838	40813
338	20937	40824
339	20997	40759
340	21086	40750
341	21181	40751
342	21268	40739
343	21324	40665
344	21391	40613
345	21452	40548
346	21538	40531
347	21602	40473
348	21669	40421
349	21726	40349
350	21822	40349
351	21884	40287
352	21968	40265
353	22024	40192
354	22137	40221
355	22206	40171
356	22269	40110
357	22352	40085
358	22414	40021
359	22449	39910
360	22523	39867
361	22583	39801
362	22633	39717
363	22695	39655
364	22749	39578
365	22821	39532
366	22900	39498
367	22966	39441
368	23037	39394
369	23099	39331
370	23169	39281
371	23261	39269
372	23337	39228
373	23399	39166
374	23468	39113
375	23554	39090
376	23638	39063
377	23722	39035
378	23799	38996
379	23869	38944
380	23954	38918
381	24055	38917
382	24125	38865
383	24195	38813
384	24275	38777
385	24368	38762
386	24438	38710
387	24538	38704
388	24626	38680
389	24703	38638
390	24769	38579
391	24865	38567
392	24943	38525
393	25031	38500
394	25097	38439
395	25185	38414
396	25260	38368
397	25343	38334
398	25412	38278
399	25482	38223
400	25544	38157
401	25620	38112
402	25669	38026
403	25749	37987
404	25827	37944
405	25896	37888
406	25981	37855
407	26046	37792
408	26128	37755
409	26205	37710
410	26252	37622
411	26343	37596
412	26427	37561
413	26491	37498
414	26558	37438
415	26627	37381
416	26698	37326
417	26783	37291
418	26888	37284
419	26953	37221
420	27008	37145
421	27070	37077
422	27114	36985
423	27198	36949
424	27257	36877
425	27333	36829
426	27429	36808
427	27496	36747
428	27560	36683
429	27630	36626
430	27718	36593
431	27798	36549
432	27860	36482
433	27951	36453
434	28028	36405
435	28097	36346
436	28161	36281
437	28227	36219
438	28312	36181
439	28429	36182
440	28531	36165
441	28614	36124
442	28688	36070
443	28784	36045
444	28881	36020
445	28944	35953
446	29012	35891
447	29080	35831
448	29158	35783
449	29243	35742
450	29312	35682
451	29383	35624
452	29460	35573
453	29529	35513
454	29628	35488
455	29712	35446
456	29784	35389
457	29862	35339
458	29927	35274
459	29996	35213
460	30081	35171
461	30158	35119
462	30228	35059
463	30288	34988
464	30325	34890
465	30411	34849
466	30496	34806
467	30559	34739
468	30642	34693
469	30712	34633
470	30783	34573
471	30859	34520
472	30927	34458
473	31013	34415
474	31080	34352
475	31143	34283
476	31211	34221
477	31280	34159
478	31342	34090
479	31428	34047
480	31511	34001
481	31576	33934
482	31642	33870
483	31711	33808
484	31781	33746
485	31846	33681
486	31919	33623
487	31971	33544
488	32042	33483
489	32126	33438
490	32211	33391
491	32295	33345
492	32358	33277
493	32432	33220
494	32505	33162
495	32558	33083
496	32626	33019
497	32712	32975
498	32783	32914
499	32853	32853
500	32912	32781
501	32996	32733
502	33085	32691
503	33156	32630
504	33226	32568
505	33313	32523
506	33384	32462
507	33479	32425
508	33545	32359
509	33644	32324
510	33710	32258
511	33779	32195
512	33844	32129
513	33928	32080
514	34010	32029
515	34094	31980
516	34157	31910
517	34240	31861
518	34312	31799
519	34393	31748
520	34463	31685
521	34541	31630
522	34629	31583
523	34713	31533
524	34793	31479
525	34857	31411
526	34929	31350
527	34992	31281
528	35065	31221
529	35143	31164
530	35202	31091
531	35248	31008
532	35354	30977
533	35424	30913
534	35541	30891
535	35609	30825
536	35677	30761
537	35741	30692
538	35823	30639
539	35909	30589
540	35983	30529
541	36058	30469
542	36125	30404
543	36209	30351
544	36276	30285
545	36339	30216
546	36439	30177
547	36524	30126
548	36609	30074
549	36692	30021
550	36776	29968
551	36856	29912
552	36907	29833
553	36975	29767
554	37038	29697
555	37111	29636
556	37191	29579
557	37275	29526
558	37339	29457
559	37422	29403
560	37491	29338
561	37576	29285
562	37653	29226
563	37741	29176
564	37821	29119
565	37890	29054
566	37953	28983
567	38022	28918
568	38107	28865
569	38176	28799
570	38255	28741
571	38322	28675
572	38405	28619
573	38474	28554
574	38575	28512
575	38674	28468
576	38737	28398
577	38806	28332
578	38906	28289
579	38979	28226
580	39075	28179
581	39151	28119
582	39236	28064
583	39336	28020
584	39420	27964
585	39475	27888
586	39577	27845
587	39673	27798
588	39737	27728
589	39813	27667
590	39862	27586
591	39935	27523
592	40024	27470
593	40105	27411
594	40188	27355
595	40251	27284
596	40321	27218
597	40405	27162
598	40489	27105
599	40591	27060
600	40672	27002
601	40750	26941
602	40810	26868
603	40859	26788
604	40935	26726
605	41018	26668
606	41104	26613
607	41174	26546
608	41251	26484
609	41340	26430
610	41406	26361
611	41469	26291
612	41551	26232
613	41634	26173
614	41686	26096
615	41749	26025
616	41805	25950
617	41875	25884
618	41971	25833
619	42033	25762
620	42119	25705
621	42217	25656
622	42304	25599
623	42385	25540
624	42470	25482
625	42542	25416
626	42632	25361
627	42716	25303
628	42777	25231
629	42848	25164
630	42915	25096
631	42986	25030
632	43050	24959
633	43117	24891
634	43200	24831
635	43270	24764
636	43369	24714
637	43448	24652
638	43517	24585
639	43615	24533
640	43683	24465
641	43746	24394
642	43811	24324
643	43859	24245
644	43931	24179
645	44014	24119
646	44083	24051
647	44146	23980
648	44246	23929
649	44330	23870
650	44415	23811
651	44499	23751
652	44569	23684
653	44647	23620
654	44729	23559
655	44799	23492
656	44899	23440
657	44983	23380
658	45046	23309
659	45129	23248
660	45214	23188
661	45313	23136
662	45397	23075
663	45467	23007
664	45545	22943
665	45613	22875
666	45717	22824
667	45770	22748
668	45857	22688
669	45930	22622
670	45998	22553
671	46074	22488
672	46142	22419
673	46204	22348
674	46283	22284
675	46368	22223
676	46447	22160
677	46517	22092
678	46601	22031
679	46673	21963
680	46766	21906
681	46844	21842
