iter	Passed	Remaining
0	508	508374
1	751	374808
2	1002	333268
3	1245	310028
4	1483	295246
5	1716	284298
6	2003	284214
7	2239	277664
8	2498	275075
9	2720	269373
10	2939	264267
11	3172	261183
12	3328	252707
13	3552	250221
14	3785	248550
15	4005	246326
16	4218	243946
17	4434	241927
18	4679	241635
19	4895	239870
20	5114	238424
21	5330	236977
22	5549	235733
23	5789	235437
24	6009	234361
25	6226	233249
26	6458	232757
27	6730	233643
28	6953	232814
29	7169	231815
30	7387	230907
31	7606	230105
32	7830	229463
33	8042	228500
34	8258	227688
35	8474	226939
36	8699	226431
37	8917	225760
38	9134	225077
39	9362	224711
40	9578	224034
41	9820	223995
42	10044	223552
43	10260	222928
44	10472	222249
45	10696	221844
46	10923	221500
47	11135	220856
48	11353	220350
49	11564	219733
50	11795	219489
51	12012	219000
52	12228	218491
53	12419	217565
54	12635	217104
55	12871	216972
56	13088	216526
57	13340	216670
58	13560	216275
59	13796	216142
60	14019	215808
61	14232	215317
62	14451	214938
63	14673	214596
64	14915	214552
65	15131	214129
66	15353	213797
67	15570	213404
68	15802	213222
69	16029	212965
70	16262	212792
71	16511	212813
72	16732	212483
73	16855	210927
74	17084	210709
75	17298	210310
76	17516	209966
77	17732	209602
78	17964	209429
79	18269	210096
80	18530	210238
81	18777	210212
82	19023	210177
83	19263	210062
84	19504	209962
85	19731	209706
86	19974	209613
87	20203	209382
88	20433	209158
89	20665	208947
90	20895	208722
91	21139	208633
92	21362	208345
93	21585	208047
94	21795	207634
95	22025	207409
96	22249	207129
97	22465	206777
98	22687	206478
99	22906	206158
100	23141	205983
101	23357	205637
102	23574	205303
103	23798	205035
104	24029	204824
105	24257	204590
106	24479	204296
107	24709	204084
108	24933	203816
109	25176	203700
110	25398	203412
111	25638	203275
112	25891	203236
113	26128	203070
114	26380	203012
115	26599	202705
116	26843	202587
117	27063	202284
118	27279	201961
119	27495	201635
120	27748	201577
121	27977	201344
122	28201	201080
123	28447	200967
124	28664	200652
125	28888	200387
126	29114	200135
127	29351	199956
128	29566	199629
129	29778	199287
130	30006	199052
131	30222	198737
132	30459	198558
133	30674	198237
134	30899	197987
135	31120	197703
136	31347	197466
137	31568	197185
138	31784	196880
139	32021	196705
140	32244	196437
141	32488	196302
