iter	MAE
0	5.667886114
1	5.653321658
2	5.638694684
3	5.624100258
4	5.609594072
5	5.595227635
6	5.580902054
7	5.566614216
8	5.552549472
9	5.538443212
10	5.524473843
11	5.510599492
12	5.496795414
13	5.48314497
14	5.469444189
15	5.455961269
16	5.442550685
17	5.429145232
18	5.41572138
19	5.402344451
20	5.38896251
21	5.375757183
22	5.362529475
23	5.349385527
24	5.33642282
25	5.323616163
26	5.310637483
27	5.297749546
28	5.284936681
29	5.272357091
30	5.259708087
31	5.247071653
32	5.234558941
33	5.222144324
34	5.20976126
35	5.197711533
36	5.185432216
37	5.173268927
38	5.161188845
39	5.149211359
40	5.137207389
41	5.125391745
42	5.113787569
43	5.10188609
44	5.090122484
45	5.07846542
46	5.0670969
47	5.055548442
48	5.04405496
49	5.032869503
50	5.021828462
51	5.010493758
52	4.999260577
53	4.988186918
54	4.977210371
55	4.966242267
56	4.955238204
57	4.944128872
58	4.933288074
59	4.922440807
60	4.911588029
61	4.900989212
62	4.890225302
63	4.879791846
64	4.869320028
65	4.858817996
66	4.848216746
67	4.837704424
68	4.827426302
69	4.817151457
70	4.806844578
71	4.796457388
72	4.786226548
73	4.776084671
74	4.765770719
75	4.755773256
76	4.745602499
77	4.735781041
78	4.725934794
79	4.7160613
80	4.706200327
81	4.696511687
82	4.686630154
83	4.676900676
84	4.667260383
85	4.657643576
86	4.648039626
87	4.638418288
88	4.62875703
89	4.619306883
90	4.609915267
91	4.6003078
92	4.590881016
93	4.581331418
94	4.572084217
95	4.562779223
96	4.553489801
97	4.544196357
98	4.534893603
99	4.525630061
100	4.516249827
101	4.507111196
102	4.497906689
103	4.488893745
104	4.479869034
105	4.470844873
106	4.461906566
107	4.453068928
108	4.444104879
109	4.435172065
110	4.426409498
111	4.417534352
112	4.408685257
113	4.39992062
114	4.391282631
115	4.382582632
116	4.373865258
117	4.365008772
118	4.356167868
119	4.347641596
120	4.338842882
121	4.330165959
122	4.321405789
123	4.31277216
124	4.304029682
125	4.295461411
126	4.287259048
127	4.278509039
128	4.270490409
129	4.262052284
130	4.253875765
131	4.245370577
132	4.236968852
133	4.228743494
134	4.220616569
135	4.212388483
136	4.204179984
137	4.196016172
138	4.187811155
139	4.179678309
140	4.171392228
141	4.163226184
142	4.155051808
143	4.14674755
144	4.138571542
145	4.130486055
146	4.122431911
147	4.114376839
148	4.106471485
149	4.098389574
150	4.090392978
151	4.08233653
152	4.074337965
153	4.066208261
154	4.058321148
155	4.050402937
156	4.042654434
157	4.03472377
158	4.026937257
159	4.019073105
160	4.011185644
161	4.003354985
162	3.99569574
163	3.988038616
164	3.9800756
165	3.972548589
166	3.964782266
167	3.957044965
168	3.949081434
169	3.941655666
170	3.933965653
171	3.926294867
172	3.918765516
173	3.910945206
174	3.903271948
175	3.895567233
176	3.887887879
177	3.880228848
178	3.872549197
179	3.865038266
180	3.857634034
181	3.84995166
182	3.842294923
183	3.834749143
184	3.827010151
185	3.81978483
186	3.812271903
187	3.804996955
188	3.797519302
189	3.790038917
190	3.782546873
191	3.775097164
192	3.767709806
193	3.760435482
194	3.753005401
195	3.7455765
196	3.738432546
197	3.730987711
198	3.7236495
199	3.716415156
200	3.709156828
201	3.701844561
202	3.694607946
203	3.687599643
204	3.680540377
205	3.673396458
206	3.666255703
207	3.659075621
208	3.651855076
209	3.644735707
210	3.637469757
211	3.630473946
212	3.623596553
213	3.616530868
214	3.60956134
215	3.602781007
216	3.595946734
217	3.589136222
218	3.5821863
219	3.575288713
220	3.568547564
221	3.561655881
222	3.554751204
223	3.548094347
224	3.541265283
225	3.53474566
226	3.527937257
227	3.521219706
228	3.514446919
229	3.507643516
230	3.50087869
231	3.494143472
232	3.487370689
233	3.480391415
234	3.473607296
235	3.466783373
236	3.460200743
237	3.453598954
238	3.446978669
239	3.440439456
240	3.433885653
241	3.427229224
242	3.420933799
243	3.414420175
244	3.407817795
245	3.401327105
246	3.394839363
247	3.388390551
248	3.381978311
249	3.375673368
250	3.369212092
251	3.362909951
252	3.356486908
253	3.349957309
254	3.343535535
255	3.337033815
256	3.33076648
257	3.324180316
258	3.317936194
259	3.311561916
260	3.305135956
261	3.298838422
262	3.292484206
263	3.286140419
264	3.279873802
265	3.273467305
266	3.267356407
267	3.260953452
268	3.254534424
269	3.248197484
270	3.241958431
271	3.235541727
272	3.229356969
273	3.223096677
274	3.216673963
275	3.21031715
276	3.204086718
277	3.198132881
278	3.191935557
279	3.185854987
280	3.179807734
281	3.173740828
282	3.167530441
283	3.161529572
284	3.155536605
285	3.149655747
286	3.143605712
287	3.137720022
288	3.131859837
289	3.125936823
290	3.120154962
291	3.114284341
292	3.10860655
293	3.102706569
294	3.09686165
295	3.090894594
296	3.085006931
297	3.079066882
298	3.073207299
299	3.067432995
300	3.061708955
301	3.055851763
302	3.050025243
303	3.044105009
304	3.038331294
305	3.032499214
306	3.02670156
307	3.021033032
308	3.015397036
309	3.009676757
310	3.004029607
311	2.99832487
312	2.99261978
313	2.986865204
314	2.981447693
315	2.975865325
316	2.970471095
317	2.964838091
318	2.959142298
319	2.953534434
320	2.94802181
321	2.942464814
322	2.937044217
323	2.931618345
324	2.926183615
325	2.920765234
326	2.915439386
327	2.910086204
328	2.904725806
329	2.899455377
330	2.894127174
331	2.888957704
332	2.883692312
333	2.878483167
334	2.873199191
335	2.86809511
336	2.862900209
337	2.857748194
338	2.852671059
339	2.847515105
340	2.842394291
341	2.837216942
342	2.832016429
343	2.826858311
344	2.821733986
345	2.816579413
346	2.811550516
347	2.806455337
348	2.80140968
349	2.796358257
350	2.791316726
351	2.786338403
352	2.781434363
353	2.776485353
354	2.771617272
355	2.766701299
356	2.761794882
357	2.756838988
358	2.752007585
359	2.747119461
360	2.742418835
361	2.737628601
362	2.732802261
363	2.728047768
364	2.723256587
365	2.718501152
366	2.713769996
367	2.709099125
368	2.704337031
369	2.699665996
370	2.69491774
371	2.690281508
372	2.685611028
373	2.681111126
374	2.676442607
375	2.671913118
376	2.667410932
377	2.662938632
378	2.658428619
379	2.653985123
380	2.649503251
381	2.645122319
382	2.640863786
383	2.636534051
384	2.632138198
385	2.62781137
386	2.623474955
387	2.61912925
388	2.61475154
389	2.610383345
390	2.606084115
391	2.601841914
392	2.597710915
393	2.593563326
394	2.589395349
395	2.585243254
396	2.581102964
397	2.577105564
398	2.573060697
399	2.569055087
400	2.564979482
401	2.56093082
402	2.557005731
403	2.552990082
404	2.548977667
405	2.545062154
406	2.541215354
407	2.537291695
408	2.533389043
409	2.529572322
410	2.525682213
411	2.521856401
412	2.518007837
413	2.514149537
414	2.510338091
415	2.506582467
416	2.502849168
417	2.499128537
418	2.49537648
419	2.491664809
420	2.487971283
421	2.484284897
422	2.48066332
423	2.477096617
424	2.473529339
425	2.469938076
426	2.466342924
427	2.462884192
428	2.459361287
429	2.455794349
430	2.452350612
431	2.448826589
432	2.445355623
433	2.4418395
434	2.43834347
435	2.434874466
436	2.43141839
437	2.427970106
438	2.424554998
439	2.421078975
440	2.417683026
441	2.414266155
442	2.410848251
443	2.407542203
444	2.40421874
445	2.400929734
446	2.397618688
447	2.394356032
448	2.391108565
449	2.387987024
450	2.384852719
451	2.381619678
452	2.378403973
453	2.375274323
454	2.372100771
455	2.368940237
456	2.365895026
457	2.362786415
458	2.359686879
459	2.356623888
460	2.353660277
461	2.350637097
462	2.347555549
463	2.344456992
464	2.341438915
465	2.338417563
466	2.33535049
467	2.332381319
468	2.329473241
469	2.32655711
470	2.3237075
471	2.320794392
472	2.317873322
473	2.31511451
474	2.312288138
475	2.309447927
476	2.306678482
477	2.304023157
478	2.301258663
479	2.298539712
480	2.295903231
481	2.293181209
482	2.290460077
483	2.287804724
484	2.285112527
485	2.282495051
486	2.279872558
487	2.277379115
488	2.274799037
489	2.272294109
490	2.26975684
491	2.267279517
492	2.264750124
493	2.262194295
494	2.259686716
495	2.25720501
496	2.254736938
497	2.252358294
498	2.249920238
499	2.247507514
500	2.245192068
501	2.24287999
502	2.240524791
503	2.238299027
504	2.23596333
505	2.233676598
506	2.231451442
507	2.229214846
508	2.226999947
509	2.22481922
510	2.222690571
511	2.220423209
512	2.218236857
513	2.215976727
514	2.213776418
515	2.211630097
516	2.209565365
517	2.20742635
518	2.205271435
519	2.203219467
520	2.201053874
521	2.199086919
522	2.197011732
523	2.194987494
524	2.192965651
525	2.19084164
526	2.188850323
527	2.186950236
528	2.185045463
529	2.183049427
530	2.181091394
531	2.179154505
532	2.177256051
533	2.175293984
534	2.173341055
535	2.171449782
536	2.169662956
537	2.16783437
538	2.166073946
539	2.16429013
540	2.162435422
541	2.160587863
542	2.158837252
543	2.157070049
544	2.155230161
545	2.153406036
546	2.151648415
547	2.149922607
548	2.148261182
549	2.14663325
550	2.144977928
551	2.14324489
552	2.141576239
553	2.140088149
554	2.138414247
555	2.136778565
556	2.135165322
557	2.133612802
558	2.132144692
559	2.130597936
560	2.129036066
561	2.127501942
562	2.125986006
563	2.124556805
564	2.123040656
565	2.121563623
566	2.120146712
567	2.118685983
568	2.117278805
569	2.115876135
570	2.114469457
571	2.113168021
572	2.111773438
573	2.110477834
574	2.109080547
575	2.10773841
576	2.106398631
577	2.105018059
578	2.103746586
579	2.102474951
580	2.101158381
581	2.099980942
582	2.09882454
583	2.097612708
584	2.09646869
585	2.095191436
586	2.093919375
587	2.092619187
588	2.091385035
589	2.090116901
590	2.088865216
591	2.087619867
592	2.086471315
593	2.085262387
594	2.084087856
595	2.082934429
596	2.081752521
597	2.08056838
598	2.079424399
599	2.078496383
600	2.077398508
601	2.076295964
602	2.075243656
603	2.074080886
604	2.073043069
605	2.071927838
606	2.070909125
607	2.069797272
608	2.068731511
609	2.067741627
610	2.066625858
611	2.065645453
612	2.064686912
613	2.063729776
614	2.062769188
615	2.061854543
616	2.060890416
617	2.06004397
618	2.059082197
619	2.058187808
620	2.057335021
621	2.056335311
622	2.055457403
623	2.054588765
624	2.053755536
625	2.052938261
626	2.052091608
627	2.051248067
628	2.050571078
629	2.049778351
630	2.048948553
631	2.0480651
632	2.04713786
633	2.046448393
634	2.045631582
635	2.044790929
636	2.043989003
637	2.043211919
638	2.042442013
639	2.041640164
640	2.04089055
641	2.04016056
642	2.039410511
643	2.03868735
644	2.037900697
645	2.037157696
646	2.036445689
647	2.035824853
648	2.035145974
649	2.034459835
650	2.033787325
651	2.033076453
652	2.032427822
653	2.031723351
654	2.031068403
655	2.030436487
656	2.029695744
657	2.029069726
658	2.028503934
659	2.027842398
660	2.027242087
661	2.026685185
662	2.026150694
663	2.025502649
664	2.024907654
665	2.024399412
666	2.023863278
667	2.023409499
668	2.022924299
