iter	Passed	Remaining
0	108	107964
1	182	90856
2	254	84696
3	324	80893
4	395	78762
5	466	77289
6	538	76324
7	609	75538
8	681	75091
9	756	74849
10	837	75342
11	914	75278
12	986	74928
13	1075	75736
14	1151	75645
15	1222	75206
16	1295	74935
17	1367	74593
18	1438	74286
19	1513	74149
20	1591	74200
21	1665	74045
22	1739	73903
23	1813	73736
24	1902	74197
25	1998	74866
26	2084	75133
27	2173	75465
28	2264	75810
29	2353	76110
30	2450	76607
31	2546	77025
32	2633	77178
33	2710	77001
34	2784	76772
35	2860	76594
36	2933	76350
37	3008	76156
38	3088	76103
39	3159	75835
40	3230	75570
41	3307	75441
42	3387	75389
43	3459	75162
44	3533	74986
45	3619	75064
46	3702	75079
47	3788	75133
48	3871	75132
49	3950	75065
50	4039	75163
51	4121	75144
52	4194	74948
53	4266	74740
54	4340	74578
55	4413	74406
56	4484	74188
57	4554	73966
58	4626	73790
59	4700	73640
60	4775	73508
61	4845	73311
62	4914	73091
63	4985	72907
64	5058	72760
65	5127	72563
66	5198	72395
67	5267	72198
68	5340	72061
69	5413	71924
70	5483	71747
71	5556	71613
72	5627	71458
73	5698	71304
74	5768	71139
75	5839	70990
76	5908	70831
77	5979	70678
78	6051	70550
79	6124	70427
80	6194	70285
81	6264	70134
82	6335	69999
83	6407	69871
84	6481	69774
85	6554	69658
86	6625	69534
87	6694	69383
88	6766	69265
89	6837	69138
90	6910	69026
91	6979	68886
92	7049	68749
93	7119	68615
94	7192	68515
95	7264	68405
96	7335	68288
97	7407	68176
98	7477	68057
99	7549	67943
100	7618	67810
101	7690	67702
102	7761	67594
103	7835	67506
104	7910	67426
105	7981	67315
106	8055	67225
107	8127	67124
108	8199	67025
109	8274	66947
110	8343	66827
111	8414	66718
112	8488	66629
113	8560	66528
114	8634	66445
115	8706	66346
116	8784	66299
117	8856	66199
118	8927	66094
119	9001	66009
120	9074	65923
121	9151	65860
122	9237	65863
123	9309	65770
124	9381	65673
125	9452	65570
126	9531	65519
127	9609	65463
128	9683	65381
129	9759	65311
130	9850	65345
131	9932	65315
132	10019	65318
133	10109	65334
134	10197	65338
135	10294	65403
136	10387	65436
137	10478	65451
138	10572	65486
139	10656	65460
140	10736	65406
141	10810	65321
142	10888	65253
143	10963	65174
144	11036	65077
145	11112	64997
146	11188	64924
147	11268	64868
148	11345	64799
149	11422	64729
150	11501	64667
151	11575	64581
152	11651	64500
153	11722	64399
154	11798	64319
155	11878	64265
156	11955	64194
157	12035	64137
158	12113	64069
159	12194	64020
160	12271	63950
161	12348	63876
162	12428	63819
163	12503	63738
164	12577	63650
165	12663	63621
166	12743	63562
167	12820	63493
168	12891	63391
169	12964	63298
170	13042	63227
171	13119	63154
172	13200	63104
173	13281	63050
174	13364	63002
175	13447	62960
176	13526	62892
177	13616	62878
178	13688	62785
179	13764	62703
180	13841	62630
181	13914	62536
182	13988	62450
183	14062	62364
184	14133	62262
185	14206	62173
186	14279	62081
187	14355	62001
188	14428	61914
189	14498	61811
190	14571	61719
191	14640	61612
192	14712	61516
193	14784	61423
194	14855	61328
195	14929	61240
196	15000	61145
197	15071	61048
198	15143	60953
199	15216	60864
200	15286	60763
